# Reference output for tests. Not shown to readers.
# source,data\emg\santuz2021_demo.csv
# generator,"scipy 1.15.2, scripts/make_emg_reference.py"
# pipeline,"butter(4,50Hz,high)+filtfilt -> abs -> butter(4,20Hz,low)+filtfilt -> clip -> minus min"
# padlen,15
# sampling_rate_hz,1000
sample_index,time_s,ta_hp,ta_env,gm_hp,gm_env,rf_hp,rf_env
0,0,0.000346037519,4.392126623e-05,-0.0001946664022,0,8.868240222e-05,0
5,0.005,0.01866553117,0.007444297235,0.06209112678,0.03324071817,0.0008204898826,0.001696263794
10,0.01,0.0372576346,0.01312960004,-0.1166355562,0.06763931766,0.000403507277,0.00320581401
15,0.015,-0.02581839402,0.01649418561,0.03488372775,0.09539038993,0.001797569894,0.004289345066
20,0.02,-0.01021797776,0.0175235914,-0.1312849457,0.1153325694,0.001669659594,0.004884247199
25,0.025,0.0007097092224,0.01668809833,0.0122591537,0.128758669,0.004184218438,0.005061048255
30,0.03,0.0183846546,0.01469454716,-0.07741108727,0.1379078009,0.002358720492,0.004950561045
35,0.035,-0.003793455397,0.01225316781,0.1628748924,0.1444902365,-0.006683586848,0.00468204142
40,0.04,0.01889119924,0.009936778513,-0.2307271082,0.148843437,0.005768105196,0.004366644521
45,0.045,-0.01895297532,0.00812185936,0.1647949427,0.1500533815,-0.001776832288,0.004119417229
50,0.05,0.008031173799,0.006992607862,-0.1428866503,0.1469191907,0.012565586,0.004077122314
55,0.055,-0.003961647757,0.006574145136,-0.08484969006,0.1391938676,-0.001043264195,0.004386666111
60,0.06,-0.009891677247,0.006763744702,0.3411359987,0.1285138145,0.005873215795,0.005164183933
65,0.065,-0.01300916484,0.007367510897,0.05902155677,0.1183940317,-0.003666037698,0.006435068921
70,0.07,0.01075083441,0.008167906468,0.1074011666,0.1129389213,0.01030113099,0.008086201888
75,0.075,-0.01741542661,0.009012907517,0.01624243684,0.1147434638,0.01068699531,0.009862597328
80,0.08,0.01038231795,0.009869298676,0.09084472587,0.1232136481,-0.01526945427,0.01142254935
85,0.085,-0.0131318681,0.01079460606,0.07591887757,0.1344220687,0.01239063405,0.01243995398
90,0.09,0.005453451629,0.0118572055,-0.1744501716,0.1427074632,0.01262874063,0.01271602303
95,0.095,0.028771929,0.01308352534,0.2692652303,0.1432683403,0.006413756454,0.01225357037
100,0.1,0.005122566617,0.01447380744,-0.1244829084,0.1343691261,-0.0003132139357,0.01127301055
105,0.105,0.03204643201,0.01604937563,-0.05814949006,0.1177378007,0.01359243455,0.0101583138
110,0.11,0.01457768134,0.01785892622,0.05585074435,0.09710929011,-0.003443219992,0.009339019221
115,0.115,-0.03037180023,0.01990456949,-0.04729725969,0.07636984847,-0.002564317638,0.00914483493
120,0.12,0.01035117105,0.02202287495,0.1533934701,0.05838924112,-0.006539516462,0.009668236773
125,0.125,0.02861030694,0.02381829052,0.02863074056,0.04464003716,0.007011693084,0.01069470409
130,0.13,-0.04498824971,0.02474450634,-0.05957575513,0.03534599686,0.01900753784,0.01176411519
135,0.135,0.02175321167,0.02435609856,-0.02691542751,0.02990114801,-0.01907903313,0.01236476983
140,0.14,0.01204603164,0.0225845105,0.04292389743,0.02734467534,0.03482630633,0.01216496239
145,0.145,-0.03194243368,0.01982679586,-0.01280393317,0.02672714866,0.003560658967,0.0111419493
150,0.15,0.001435811598,0.01676425981,-0.004167766244,0.02726123087,0.002806947748,0.00954850462
155,0.155,-2.083612492e-05,0.01403414082,0.007940083231,0.02827471256,-0.005496031997,0.007777098872
160,0.16,-0.02214185713,0.01198465762,-0.07519457014,0.02913743961,0.0006061039898,0.00622018263
165,0.165,-0.0004254079537,0.01064222434,0.02251721102,0.02930024231,0.009750204269,0.005183605529
170,0.17,-0.002900958062,0.009836406832,-0.06431456585,0.02839048971,-0.004293193347,0.004868570891
175,0.175,-0.02884077532,0.009347795299,0.07900854806,0.02628588063,0.01926762469,0.005403901495
180,0.18,0.009361030607,0.008997710685,0.01229532237,0.02314726368,-0.02718825477,0.006881009677
185,0.185,-0.003656921077,0.008670744062,0.007168287073,0.01936323305,0.02406309105,0.009334262892
190,0.19,-0.005621408962,0.008299542265,-0.02684191364,0.01541515245,-0.001255460447,0.01263256451
195,0.195,-0.009853260083,0.007852852989,0.01214473231,0.01174462005,-0.007782436725,0.01634188609
200,0.2,0.02811089863,0.00734399559,-0.01481035559,0.008668118263,-0.004318384445,0.01970164763
205,0.205,0.006445685079,0.006837279435,0.00360316493,0.006346101655,0.004780161687,0.02182861431
210,0.21,-0.006162211877,0.006421543311,-0.007453427674,0.004801858526,0.0157191335,0.02213850833
215,0.215,-0.007707615834,0.006147743136,-0.004130217897,0.003955384017,-0.007734328843,0.02079196794
220,0.22,0.006280317961,0.005970056157,-0.0001344917273,0.003657032728,-0.005009084178,0.01883800949
225,0.225,0.0003061059264,0.00573616457,-0.009787951768,0.003724784017,0.005387205106,0.01786050973
230,0.23,-0.001211363429,0.005242820076,-0.005850200058,0.003979401322,-0.01565275003,0.01930177037
235,0.235,0.009742569253,0.004343911897,0.01144060588,0.004271933139,0.01139610609,0.02382422405
240,0.24,5.979804533e-05,0.003080690086,0.004990991803,0.00450361846,0.01882305465,0.03099700429
245,0.245,0.003493453059,0.001789981374,-0.00300259685,0.004637306409,-0.02441410617,0.03944771831
250,0.25,0.004341983858,0.001138104041,0.0107137534,0.004692423106,-0.03327137206,0.04742228209
255,0.255,-0.002918654939,0.002030780483,0.0001968519249,0.004718340082,0.01322375291,0.05347172133
260,0.26,0.0003631762145,0.005369064462,0.01040113556,0.004758215147,0.01008475147,0.05687019464
265,0.265,0.001229442144,0.01168640976,-0.007626924331,0.004823994387,-0.02153826281,0.05751440568
270,0.27,-0.01057390406,0.02079428693,-0.0005649763057,0.004893508525,0.09111974326,0.05550291786
275,0.275,-0.05073504231,0.03162639945,-0.003310206047,0.004927308839,-0.09987398096,0.05090908557
280,0.28,-0.01235315772,0.04242606135,-0.004896146785,0.004898349194,0.05979382234,0.04393985298
285,0.285,-0.04183542074,0.0512712238,0.008147459466,0.004815759511,-0.05288403198,0.03519015783
290,0.29,-0.0351097377,0.05673868922,0.0009872110252,0.004725210173,-0.004072420151,0.02569578763
295,0.295,0.1307585071,0.05837551833,6.438461263e-05,0.004690031866,0.01981829356,0.0167575178
300,0.3,-0.05295548549,0.05674637578,0.007375553248,0.004763864801,-0.009302399434,0.009636063616
305,0.305,0.01996433088,0.05312031455,0.001846340947,0.004962817002,-0.005595448423,0.005227394198
310,0.31,0.01571622235,0.04901526319,-0.01289734179,0.005247579386,0.0004810898952,0.003830194647
315,0.315,0.08200325352,0.0457705613,0.003678988347,0.005524789115,0.00744089388,0.005075339416
320,0.32,-0.02869685893,0.04423364558,-0.0094927528,0.005671802079,-0.002263257811,0.008025357305
325,0.325,0.05254308572,0.04458692683,0.007204788092,0.00558304324,-0.01189760321,0.0114183014
330,0.33,-0.1101161465,0.04629055651,-0.003161986234,0.005223289139,0.006418814856,0.0140160611
335,0.335,-0.002777791873,0.04817560194,0.001129100882,0.004655771402,-0.0154947607,0.0149758957
340,0.34,-0.03562786704,0.04876038269,0.001577016683,0.004021870994,-0.01153208593,0.01409787931
345,0.345,0.1986601582,0.04683018005,0.003215583506,0.003485431423,0.006757760986,0.01181117378
350,0.35,-0.02487422035,0.04211835896,-0.002099362841,0.003175475558,0.003577294746,0.008914737539
355,0.355,-0.01404715188,0.03558532708,-0.00322224572,0.003148756714,-0.01114589736,0.006227327185
360,0.36,-0.004370725036,0.02900534427,0.001753316368,0.003378604214,0.005141677328,0.004313542315
365,0.365,0.0201551978,0.02422970907,0.0004673967036,0.003774052852,0.002827609578,0.003374672534
370,0.37,0.01911310372,0.02257994754,0.004777153472,0.004218249782,0.0004994583979,0.003294337881
375,0.375,-0.03847985726,0.02451931089,0.003623475669,0.004604295481,0.005567887266,0.003771348052
380,0.38,0.03537760189,0.02960823069,0.01333825867,0.004859634085,0.0007328773065,0.004464035853
385,0.385,0.01450991476,0.03669721846,0.003650806342,0.004955628102,0.008353573107,0.005094960064
390,0.39,-0.02979707935,0.04424519016,-0.006092297799,0.004897800643,0.007143554755,0.00549965486
395,0.395,0.004011765015,0.05063425671,0.003428770872,0.004705070099,0.006589113436,0.005627634575
400,0.4,0.04766811931,0.05439014346,-0.002899505094,0.004397603445,0.01011837117,0.005512970578
405,0.405,-0.07429517894,0.05438762519,0.004699114158,0.004001792006,0.007764218135,0.005233257534
410,0.41,-0.1676581781,0.05016445996,0.0009413515178,0.003562759436,0.002404120542,0.004870458344
415,0.415,0.0367597337,0.04221439623,0.002496883553,0.003147673825,0.005591438127,0.004482535477
420,0.42,-0.006913294238,0.03197810602,0.001756487504,0.002830095712,0.00328715915,0.004096503817
425,0.425,0.01578319349,0.02140250601,0.001764023194,0.002663849305,0.008267614347,0.003730319199
430,0.43,0.003670912032,0.01229041239,0.007052949409,0.00266439201,-0.0001341427663,0.003427476052
435,0.435,0.0111923876,0.005797505005,-0.004263626114,0.002808837961,0.005576254611,0.003273383878
440,0.44,-0.005771716624,0.002258675252,-0.005785820252,0.003051686096,-0.0002279889656,0.003370898436
445,0.445,-0.0006488570453,0.001315437363,0.004589184171,0.003345110695,-0.00306372156,0.003784310307
450,0.45,-0.006721117976,0.002197022739,0.001317472184,0.003653340658,-0.003526490195,0.004486353143
455,0.455,0.008259876465,0.004015197829,0.002282491243,0.003956841817,-0.002546073368,0.005345057253
460,0.46,-0.003659318393,0.005992703279,-0.002806631701,0.004249786666,0.0181914133,0.006163963755
465,0.465,0.003958529561,0.00757994534,-0.0003561089775,0.004535222527,-0.002027047916,0.006753423849
470,0.47,-0.006392237359,0.008458738091,0.004628955686,0.00481906384,0.006876475416,0.006991423411
475,0.475,0.006480717083,0.008494787501,-0.008223727959,0.005101845982,0.02015396085,0.006844650357
480,0.48,-0.0136672049,0.007715151637,-0.007659944679,0.005373771677,-0.003567978403,0.006358298947
485,0.485,0.004789129003,0.006334605371,0.006798299746,0.005615419002,-0.0102632083,0.005636063435
490,0.49,-0.002340280329,0.004790978675,-0.003699236801,0.005796273913,0.005511003505,0.004818634387
495,0.495,-0.003109884024,0.003736399413,-0.00407609631,0.005872297842,0.006268632449,0.004061226126
500,0.5,0.009386649078,0.003961013986,-0.0008574734648,0.00579075576,-0.001853178735,0.003507623142
505,0.505,-0.002991770024,0.006240805842,0.008152657426,0.005511257939,-0.004081518499,0.00325850099
510,0.51,-0.009771153925,0.01112418194,0.01102987499,0.005040242785,0.002303453859,0.003343171043
515,0.515,0.005172913435,0.01870882957,0.005899709127,0.004453489075,0.005652774333,0.003709290538
520,0.52,-0.03095345995,0.02848396286,-0.002710185246,0.003880197138,-0.007011147219,0.00423318639
525,0.525,0.06991673682,0.0392897336,0.001567966986,0.003456203658,0.007427987931,0.004748974277
530,0.53,0.008135519773,0.04941667394,0.003571263367,0.003276581522,-0.001934282012,0.005094380412
535,0.535,-0.02359266648,0.05688492072,-0.003145805789,0.003369538136,0.009528270608,0.00516315965
540,0.54,0.1494056956,0.05998434435,0.0003010437093,0.003693369587,0.01334944562,0.004947178589
545,0.545,-0.1078671028,0.05800674901,0.005497128756,0.004148463911,0.004962905382,0.00454965459
550,0.55,0.01023022293,0.05170062379,0.009423375259,0.004598955942,0.003818220209,0.004152756215
555,0.555,0.04298213064,0.04301752533,-0.005778475066,0.004903542035,9.888542737e-05,0.00394014678
560,0.56,-0.06658040173,0.03433034258,-0.01470103244,0.004954209419,0.003681872128,0.004011516691
565,0.565,-0.06472297331,0.0276621936,-0.0002751659518,0.004713522522,-0.002180927872,0.004341153977
570,0.57,0.0002611002678,0.0242570142,-0.01093683055,0.004238217336,-0.004364063433,0.004804105327
575,0.575,0.00198205803,0.0244823124,-0.01126367523,0.003679440552,0.004581510669,0.005250502824
580,0.58,-0.08458263297,0.02794278431,0.002527981731,0.003262229477,-0.003115667628,0.0055865947
585,0.585,0.02649684265,0.03371385363,0.006360375065,0.003246415908,0.00167395754,0.005827155419
590,0.59,-0.02949438371,0.04057496586,-0.002279634732,0.003867056384,0.002964846573,0.0060930478
