"# Raw surface EMG excerpt, Santuz et al. 2021, CC BY 4.0"
# source,https://doi.org/10.5281/zenodo.5171823
# trial,ID0001_M_YOUNG_TW_01
# sampling_rate_hz,1000
# units,millivolt
# touchdown_s,0.6990;1.7410;2.7830;3.8240;4.8830;5.9240;6.9580;7.9990
# regenerate,python scripts/extract_emg_demo.py
time_s,ta_mv,gm_mv,rf_mv
0.13900,-0.064944,0.060364,0.026528
0.14000,-0.003261,0.035756,0.045146
0.14100,0.008719,0.012443,0.026528
0.14200,0.014548,-0.009251,0.019890
0.14300,-0.009737,-0.060087,0.011633
0.14400,-0.008118,-0.096028,0.031223
0.14500,-0.044059,-0.032403,0.026528
0.14600,-0.010385,-0.022689,0.019728
0.14700,0.004834,-0.053611,0.020052
0.14800,0.000301,-0.026412,0.002405
0.14900,0.012281,-0.020098,0.001272
0.15000,0.002405,-0.019936,0.016976
0.15100,0.007910,-0.002128,0.016652
0.15200,-0.007632,0.015195,-0.002290
0.15300,0.003377,0.013738,0.019404
0.15400,-0.004233,-0.012489,0.000786
0.15500,0.008719,0.000139,-0.002128
0.15600,0.014062,0.044822,0.008719
0.15700,0.033651,0.055345,-0.004233
0.15800,0.035756,-0.003099,0.002081
0.15900,0.005967,-0.094247,0.009691
0.16000,-0.012651,-0.086962,0.000624
0.16100,-0.023336,-0.017832,0.000301
0.16200,-0.008280,-0.024955,-0.004880
0.16300,0.001596,-0.019775,-0.012651
0.16400,0.005643,-0.017994,0.004348
0.16500,0.007262,0.010014,0.007100
0.16600,0.035108,0.033004,-0.001966
0.16700,0.035918,0.017785,-0.005690
0.16800,0.021185,0.025395,-0.007309
0.16900,0.005319,-0.005204,-0.018479
0.17000,-0.000995,-0.069963,-0.014756
0.17100,-0.013461,-0.047297,-0.003747
0.17200,-0.001156,-0.018318,-0.012489
0.17300,0.008557,-0.016375,-0.010385
0.17400,-0.015403,0.033813,-0.014270
0.17500,-0.030945,0.080278,0.003053
0.17600,-0.014108,0.022642,-0.001642
0.17700,-0.002290,-0.017184,-0.019289
0.17800,0.000948,-0.024146,-0.031269
0.17900,0.007100,-0.001642,-0.032403
0.18000,0.011957,0.017947,-0.034183
0.18100,0.017947,-0.017346,-0.004880
0.18200,0.015357,-0.016051,-0.000023
0.18300,-0.003099,-0.001804,0.005643
0.18400,0.006776,0.004672,0.009367
0.18500,0.002081,0.018109,0.034461
0.18600,0.008234,0.040289,0.009043
0.18700,0.000786,0.042556,0.019404
0.18800,0.010014,0.036404,0.023776
0.18900,0.025880,-0.005042,0.014709
0.19000,-0.004233,-0.014270,0.008234
0.19100,-0.001480,0.008719,0.023938
0.19200,-0.007147,-0.006661,0.012767
0.19300,-0.017346,0.013576,-0.004071
0.19400,-0.010385,0.007748,-0.000185
0.19500,-0.009899,0.018595,-0.016213
0.19600,0.001110,0.011795,-0.025927
0.19700,0.009691,0.002891,-0.016860
0.19800,-0.007309,0.021509,-0.023984
0.19900,-0.002614,0.001596,-0.021232
0.20000,0.033166,-0.017184,-0.016213
0.20100,0.019728,-0.029165,-0.012813
0.20200,0.008395,-0.011842,-0.045840
0.20300,0.005158,-0.002614,-0.024793
0.20400,-0.005851,0.012767,-0.006013
0.20500,0.011633,-0.001804,0.005967
0.20600,0.011310,-0.005042,0.032518
0.20700,-0.007147,-0.000509,0.039156
0.20800,0.003377,-0.012975,0.068783
0.20900,-0.002128,-0.001966,0.073316
0.21000,-0.008118,-0.008927,0.015843
0.21100,-0.007794,0.001110,-0.039850
0.21200,-0.005690,0.003862,-0.060573
0.21300,0.007586,-0.000023,-0.068505
0.21400,-0.005851,0.001596,-0.054906
0.21500,-0.013946,-0.002128,-0.016051
0.21600,-0.004233,0.015843,0.005481
0.21700,-0.012975,0.007586,0.006453
0.21800,-0.012651,0.000948,0.013414
0.21900,-0.003423,-0.006985,-0.007147
0.22000,0.003053,-0.000671,-0.005528
0.22100,0.006129,-0.004556,0.017138
0.22200,-0.008927,-0.000185,0.018595
0.22300,0.001758,0.002243,0.031223
0.22400,0.008395,-0.003261,0.022480
0.22500,0.000786,-0.014270,0.014224
0.22600,0.011148,-0.008280,-0.003261
0.22700,-0.001156,-0.006013,0.006453
0.22800,-0.006661,-0.000023,-0.001966
0.22900,-0.006175,-0.001318,-0.021879
0.23000,-0.001318,-0.008604,-0.009575
0.23100,-0.005528,-0.000023,-0.001318
0.23200,-0.001642,-0.002614,0.005643
0.23300,0.007748,-0.001966,0.007586
0.23400,-0.006337,0.004186,0.020376
0.23500,0.007910,0.014224,0.009529
0.23600,-0.008118,0.003215,0.006938
0.23700,-0.005690,0.000301,-0.018641
0.23800,0.000139,-0.002290,-0.022203
0.23900,-0.000509,0.009529,-0.020098
0.24000,-0.001480,0.010014,0.016328
0.24100,-0.000347,0.013090,0.052108
0.24200,0.000948,0.007424,0.036080
0.24300,-0.009899,-0.002614,0.046927
0.24400,-0.009413,-0.006823,0.007910
0.24500,0.003215,-0.000509,-0.005042
0.24600,0.009367,-0.002614,-0.038393
0.24700,0.002729,0.003539,-0.055392
0.24800,0.006129,-0.001642,-0.032079
0.24900,-0.001156,0.002729,-0.007470
0.25000,0.004348,0.009853,0.014062
0.25100,-0.005528,0.002405,0.076878
0.25200,0.010014,-0.006013,0.146331
0.25300,0.005158,-0.006175,0.201700
0.25400,-0.009413,-0.001318,0.158150
0.25500,-0.000995,-0.002452,0.025071
0.25600,-0.007147,-0.008442,-0.039040
0.25700,-0.004556,-0.004880,-0.106713
0.25800,-0.001318,-0.008280,-0.134074
0.25900,0.006129,0.003215,-0.110275
0.26000,0.006776,0.007910,-0.070286
